via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros
Calle,39,Avenida,20,Avenida,22,Calle 39 entre Avenida 20 y Avenida 22,280,Punta Gorda,1.8
Calle,39,Avenida,22,Avenida,24,Calle 39 entre Avenida 22 y Avenida 24,270,Casco Historico,1.7
Calle,39,Avenida,24,Avenida,26,Calle 39 entre Avenida 24 y Avenida 26,260,Casco Historico,1.6
Calle,39,Avenida,32,Avenida,34,Calle 39 entre Avenida 32 y Avenida 34,230,Casco Historico,1.3
Calle,39,Avenida,34,Avenida,36,Calle 39 entre Avenida 34 y Avenida 36,220,Casco Historico,1.2
Calle,39,Avenida,36,Avenida,38,Calle 39 entre Avenida 36 y Avenida 38,210,Casco Historico,1.1
Calle,39,Avenida,38,Avenida,40,Calle 39 entre Avenida 38 y Avenida 40,200,Casco Historico,1
Calle,39,Avenida,40,Avenida,42,Calle 39 entre Avenida 40 y Avenida 42,200,Casco Historico,0.9
Calle,39,Avenida,42,Avenida,44,Calle 39 entre Avenida 42 y Avenida 44,200,Casco Historico,0.8
Calle,39,Avenida,44,Avenida,46,Calle 39 entre Avenida 44 y Avenida 46,200,Casco Historico,0.9
Calle,39,Avenida,46,Avenida,48,Calle 39 entre Avenida 46 y Avenida 48,200,Casco Historico,1
Calle,39,Avenida,48,Avenida,50,Calle 39 entre Avenida 48 y Avenida 50,210,Casco Historico,1.1
Calle,39,Avenida,50,Avenida,52,Calle 39 entre Avenida 50 y Avenida 52,220,Casco Historico,1.2
Calle,39,Avenida,52,Avenida,54,Calle 39 entre Avenida 52 y Avenida 54,230,Casco Historico,1.3
Calle,39,Avenida,54,Avenida,56,Calle 39 entre Avenida 54 y Avenida 56,240,Casco Historico,1.4
Calle,39,Avenida,56,Avenida,58,Calle 39 entre Avenida 56 y Avenida 58,250,Casco Historico,1.5
Calle,39,Avenida,58,Avenida,60,Calle 39 entre Avenida 58 y Avenida 60,260,Casco Historico,1.6
Calle,39,Avenida,60,Avenida,62,Calle 39 entre Avenida 60 y Avenida 62,270,Casco Historico,1.7
Calle,39,Avenida,62,Avenida,64,Calle 39 entre Avenida 62 y Avenida 64,280,Casco Historico,1.8
Calle,39,Avenida,64,Avenida,66,Calle 39 entre Avenida 64 y Avenida 66,290,San Lazaro,1.9
Calle,39,Avenida,66,Avenida,68,Calle 39 entre Avenida 66 y Avenida 68,300,San Lazaro,2
Calle,39,Avenida,68,Avenida,70,Calle 39 entre Avenida 68 y Avenida 70,310,San Lazaro,2.1
Calle,39,Avenida,70,Avenida,72,Calle 39 entre Avenida 70 y Avenida 72,320,San Lazaro,2.2
Calle,39,Avenida,72,Avenida,74,Calle 39 entre Avenida 72 y Avenida 74,330,San Lazaro,2.3
Calle,39,Avenida,74,Avenida,76,Calle 39 entre Avenida 74 y Avenida 76,340,San Lazaro,2.4
Calle,41,Avenida,8,Avenida,10,Calle 41 entre Avenida 8 y Avenida 10,330,Punta Gorda,2.3
Calle,41,Avenida,10,Avenida,12,Calle 41 entre Avenida 10 y Avenida 12,320,Punta Gorda,2.2
Calle,41,Avenida,12,Avenida,14,Calle 41 entre Avenida 12 y Avenida 14,310,Punta Gorda,2.1
Calle,41,Avenida,14,Avenida,16,Calle 41 entre Avenida 14 y Avenida 16,300,Punta Gorda,2
Calle,41,Avenida,16,Avenida,18,Calle 41 entre Avenida 16 y Avenida 18,290,Punta Gorda,1.9
